from,to,weight,relationship,time
tesch,ng,1,2,99
tesch,is,1,1,99
tesch,ef,1,2,99
tesch,dp,1,1,99
tesch,zb,1,1,4
tesch,vit,1,1,4
tesch,tb,1,1,4
tesch,mw,1,1,4
tesch,lr,3,2,4
tesch,ln,2,1,4
tesch,lg,1,2,4
tesch,hb,1,2,4
tesch,gl,2,1,4
tesch,gh,1,1,4
tesch,em,1,1,4
tesch,cp,1,1,4
tesch,cd,2,1,4
tesch,aa,1,12,4
tesch,xa,1,2,3
tesch,tm,3,1,3
tesch,sg,3,2,3
tesch,mlw,1,2,3
tesch,lr,3,2,3
tesch,kr,1,1,3
tesch,kd,1,1,3
tesch,gl,2,1,3
tesch,ej,1,1,3
tesch,cd,2,1,3
tesch,cc,1,2,3
tesch,tf,1,1,2
tesch,sra,1,1,2
tesch,sm,1,1,2
tesch,lo,2,1,2
tesch,ln,2,1,2
tesch,gl,2,1,2
tesch,es,1,1,2
tesch,eb,2,1,2
tesch,dior,1,1,2
tesch,cd,2,2,2
tesch,cd,2,1,2
tesch,sv,1,1,1
tesch,sg,3,2,1
tesch,mg,2,2,1
tesch,lo,2,1,1
tesch,jvk,1,1,1
tesch,gl,2,1,1
tesch,eb,2,1,1
tesch,ds,1,2,1
tesch,bc,1,1,1
tesch,asm,1,1,1
tesch,ap,1,2,1
josselin,klg,1,1,1
josselin,mc,2,1,1
josselin,des,3,2,1
josselin,cod,3,2,1
josselin,m,1,2,1
josselin,ar,1,2,99
josselin,clr,1,2,1
josselin,dhs,1,2,1
josselin,vb,2,2,1
josselin,sg,3,2,1
josselin,jm,1,2,1
josselin,ja,1,2,1
josselin,hf,2,2,2
josselin,ism,2,1,1
josselin,av,1,2,99
josselin,jw,1,1,2
josselin,r,1,1,2
josselin,wi,1,1,2
josselin,sg,3,1,2
josselin,sjt,1,1,2
josselin,sb,1,2,2
josselin,lc,3,1,2
josselin,ax,1,1,2
josselin,mag,1,1,2
josselin,lg,2,1,2
josselin,mo,1,1,2
josselin,cw,3,1,2
josselin,ls,1,1,2
josselin,la,1,2,99
josselin,chm,1,1,2
josselin,ems,1,2,2
josselin,cl,3,2,2
josselin,kk,1,2,2
josselin,pp,1,1,3
josselin,rrc,1,1,3
josselin,cw,3,2,3
josselin,vk,2,2,3
josselin,tc,1,2,3
josselin,lb,2,2,3
josselin,at,1,2,3
josselin,jk,1,2,3
josselin,lg,2,2,3
josselin,hf,2,2,3
josselin,ss,1,2,3
josselin,ts,2,2,3
josselin,cl,3,2,3
josselin,ml,3,2,3
josselin,fc,2,2,3
josselin,cw,3,2,4
josselin,ml,3,2,4
josselin,cb,1,2,4
josselin,mm,1,2,4
josselin,sr,2,2,4
josselin,ac,1,2,4
josselin,ag,1,2,4
josselin,mk,2,2,4
josselin,sg,3,2,4
josselin,jl,1,2,4
josselin,cl,3,2,4
josselin,ju,1,1,4
josselin,th,1,2,4
josselin,mm,2,2,4
josselin,mb,1,1,4
josselin,n,1,1,4
josselin,ay,1,1,4
josselin,sg,3,1,4
josselin,vk,2,2,4
josselin,tohi,1,1,4
josselin,myb,1,1,4
josselin,or,1,1,4
josselin,jb,1,1,4
josselin,fcb,1,1,4
josselin,au,1,1,4
josselin,car,2,2,4
josselin,kv,1,2,4
josselin,bs,1,2,4
josselin,rof,1,2,4
josselin,tbz,2,1,4
josselin,som,1,1,4
josselin,emg,1,2,4
josselin,al,1,2,4
josselin,je,1,2,4
josselin,ak,1,2,4
josselin,mvb,1,1,4
josselin,cart,1,1,4
josselin,lg,2,2,4
josselin,ufo,1,1,4
josselin,llb,1,2,4
schwarz,cas,2,12,4
schwarz,am,2,1,4
schwarz,mg,1,1,4
schwarz,mr,2,12,4
schwarz,pa,1,1,4
schwarz,fb,1,1,4
schwarz,hj,2,1,4
schwarz,va,1,1,4
schwarz,pk,1,1,4
schwarz,hm,1,1,4
schwarz,amk,1,1,4
schwarz,ud,1,1,4
schwarz,ks,1,1,4
schwarz,ch,1,1,4
schwarz,sp,1,1,4
schwarz,amg,2,1,4
schwarz,pop,1,1,4
schwarz,ag,2,1,4
schwarz,an,1,1,4
schwarz,kf,1,1,4
schwarz,ks,2,1,4
schwarz,ca,1,1,4,
schwarz,be,1,1,4
schwarz,cd,1,1,4
schwarz,st,1,1,4
schwarz,jwe,1,1,4
schwarz,mi,2,1,4
schwarz,uw,1,1,4
schwarz,oa,1,1,4
schwarz,rb,1,1,4
schwarz,fe,2,2,4
schwarz,pbo,1,1,3
schwarz,nr,1,1,2
schwarz,te,1,1,4
schwarz,mac,1,1,4
schwarz,ig,1,1,3
schwarz,ripke,2,1,2
